0,1,2,3,4,5,6
,,,,,,
"Feb 4, 2025","7,051.59","7,125.94","7,051.59","7,057.71","7,057.71",-
"Feb 3, 2025","7,087.75","7,089.70","6,933.14","7,030.06","7,030.06","135,419,500"
"Jan 31, 2025","7,113.58","7,174.75","7,095.68","7,109.20","7,109.20","125,561,900"
"Jan 30, 2025","7,142.79","7,150.29","7,042.69","7,073.48","7,073.48","156,862,200"
"Jan 24, 2025","7,255.02","7,261.45","7,166.06","7,166.06","7,166.06","122,224,300"
"Jan 23, 2025","7,275.00","7,324.63","7,232.64","7,232.64","7,232.64","142,025,900"
"Jan 22, 2025","7,227.02","7,267.49","7,223.26","7,257.13","7,257.13","146,457,400"
"Jan 21, 2025","7,207.59","7,221.73","7,176.33","7,181.82","7,181.82","176,177,100"
"Jan 20, 2025","7,188.40","7,201.61","7,165.44","7,170.74","7,170.74","183,080,100"
"Jan 17, 2025","7,115.05","7,178.81","7,084.30","7,154.66","7,154.66","197,761,000"
"Jan 16, 2025","7,165.18","7,190.61","7,071.91","7,107.52","7,107.52","144,790,100"
"Jan 15, 2025","6,992.85","7,084.56","6,977.77","7,079.56","7,079.56","173,538,400"
"Jan 14, 2025","7,014.80","7,042.33","6,956.67","6,956.67","6,956.67","151,037,100"
"Jan 13, 2025","7,076.70","7,089.57","6,986.59","7,016.88","7,016.88","149,887,800"
"Jan 10, 2025","7,076.90","7,121.63","7,074.14","7,088.87","7,088.87","166,170,500"
"Jan 9, 2025","7,093.25","7,106.46","7,062.10","7,064.59","7,064.59","148,465,600"
"Jan 8, 2025","7,099.66","7,129.29","7,046.17","7,080.35","7,080.35","147,124,800"
"Jan 7, 2025","7,074.26","7,103.19","7,029.51","7,083.28","7,083.28","144,709,900"
"Jan 6, 2025","7,176.12","7,182.02","7,073.95","7,080.47","7,080.47","192,190,300"
"Jan 3, 2025","7,177.25","7,197.01","7,135.28","7,164.43","7,164.43","182,944,400"
"Jan 2, 2025","7,092.43","7,163.21","7,088.32","7,163.21","7,163.21","161,752,600"
"Dec 30, 2024","7,026.78","7,079.90","6,993.07","7,079.90","7,079.90","159,672,400"
"Dec 27, 2024","7,073.38","7,100.27","7,024.71","7,036.57","7,036.57","144,277,600"
"Dec 24, 2024","7,115.64","7,120.58","7,063.75","7,065.75","7,065.75","110,632,900"
"Dec 23, 2024","7,037.53","7,096.44","7,035.73","7,096.44","7,096.44","138,664,700"
"Dec 20, 2024","6,980.17","7,032.40","6,931.58","6,983.87","6,983.87","145,749,700"
"Dec 19, 2024","7,034.62","7,040.55","6,951.05","6,977.24","6,977.24","170,862,900"
"Dec 18, 2024","7,168.97","7,216.88","7,105.07","7,107.88","7,107.88","122,373,300"
"Dec 17, 2024","7,238.17","7,263.31","7,132.06","7,157.73","7,157.73","157,427,600"
"Dec 16, 2024","7,304.22","7,320.79","7,204.65","7,258.63","7,258.63","186,546,900"
"Dec 13, 2024","7,379.75","7,399.90","7,324.79","7,324.79","7,324.79","120,050,700"
"Dec 12, 2024","7,441.97","7,470.89","7,380.03","7,394.24","7,394.24","147,665,300"
"Dec 11, 2024","7,444.86","7,530.56","7,444.17","7,464.75","7,464.75","235,486,300"
"Dec 10, 2024","7,448.77","7,457.81","7,396.79","7,453.29","7,453.29","203,350,400"
"Dec 9, 2024","7,382.61","7,440.98","7,380.66","7,437.73","7,437.73","230,130,900"
"Dec 6, 2024","7,302.67","7,382.81","7,287.60","7,382.79","7,382.79","130,161,700"
"Dec 5, 2024","7,326.02","7,338.60","7,283.50","7,313.31","7,313.31","131,417,800"
"Dec 4, 2024","7,198.10","7,328.32","7,187.48","7,326.76","7,326.76","166,379,200"
"Dec 3, 2024","7,104.93","7,196.02","7,102.22","7,196.02","7,196.02","176,316,700"
"Dec 2, 2024","7,117.75","7,153.03","7,041.34","7,046.99","7,046.99","163,941,100"
"Nov 29, 2024","7,168.00","7,189.13","7,107.28","7,114.27","7,114.27","218,431,100"
"Nov 28, 2024","7,215.91","7,249.69","7,195.67","7,200.16","7,200.16","178,995,100"
"Nov 26, 2024","7,329.53","7,341.60","7,245.89","7,245.89","7,245.89","164,096,700"
"Nov 25, 2024","7,218.95","7,329.49","7,218.83","7,314.11","7,314.11","264,819,900"
"Nov 22, 2024","7,154.68","7,215.69","7,154.45","7,195.56","7,195.56","205,841,500"
"Nov 21, 2024","7,168.33","7,209.36","7,140.91","7,140.91","7,140.91","155,717,100"
"Nov 20, 2024","7,214.00","7,229.71","7,171.27","7,180.33","7,180.33","164,074,200"
"Nov 19, 2024","7,140.19","7,229.83","7,136.69","7,195.71","7,195.71","205,098,000"
"Nov 18, 2024","7,152.08","7,174.75","7,118.87","7,134.28","7,134.28","191,734,000"
"Nov 15, 2024","7,192.21","7,241.66","7,122.68","7,161.26","7,161.26","213,100,000"
"Nov 14, 2024","7,303.90","7,318.78","7,214.56","7,214.56","7,214.56","209,423,400"
"Nov 13, 2024","7,344.01","7,370.39","7,304.87","7,308.67","7,308.67","226,286,700"
"Nov 12, 2024","7,271.17","7,344.07","7,268.61","7,321.99","7,321.99","287,694,700"
"Nov 11, 2024","7,259.29","7,282.20","7,182.31","7,266.46","7,266.46","221,004,900"
"Nov 8, 2024","7,263.96","7,350.36","7,263.96","7,287.19","7,287.19","148,863,600"
"Nov 7, 2024","7,373.57","7,381.76","7,243.86","7,243.86","7,243.86","204,087,800"
"Nov 6, 2024","7,495.13","7,506.60","7,363.03","7,383.87","7,383.87","235,788,800"
"Nov 5, 2024","7,474.45","7,497.00","7,451.55","7,491.93","7,491.93","182,653,900"
"Nov 4, 2024","7,505.11","7,529.70","7,415.81","7,479.50","7,479.50","212,287,900"
