tanggal,NAV,AUM,currency
2024-04-01,NA,5840000000.0,IDR
2024-04-03,982.83,NA,IDR
2024-04-04,1000.51,NA,IDR
2024-04-05,996.82,NA,IDR
2024-04-16,968.1,NA,IDR
2024-04-17,960.53,NA,IDR
2024-04-18,971.94,NA,IDR
2024-04-19,956.78,NA,IDR
2024-04-22,957.26,NA,IDR
2024-04-23,965.69,NA,IDR
2024-04-24,974.61,NA,IDR
2024-04-25,962.89,NA,IDR
2024-04-26,936.54,NA,IDR
2024-04-30,963.93,NA,IDR
2024-05-01,NA,5640000000.0,IDR
2024-05-02,931.33,NA,IDR
2024-05-03,931.75,NA,IDR
2024-05-06,933.23,NA,IDR
2024-05-07,926.79,NA,IDR
2024-05-08,922.52,NA,IDR
2024-05-13,926.09,NA,IDR
2024-05-14,934.36,NA,IDR
2024-05-16,963.23,NA,IDR
2024-05-17,974.37,NA,IDR
2024-05-20,953.7,NA,IDR
2024-05-21,934.63,NA,IDR
2024-05-22,935.61,NA,IDR
2024-05-27,907.48,NA,IDR
2024-05-28,919.71,NA,IDR
2024-05-29,903.56,NA,IDR
2024-05-30,899.04,NA,IDR
2024-05-31,903.61,NA,IDR
2024-06-01,NA,5890000000.0,IDR
2024-06-03,920.97,NA,IDR
2024-06-04,927.82,NA,IDR
2024-06-05,911.01,NA,IDR
2024-06-07,916.22,NA,IDR
2024-06-10,922.44,NA,IDR
2024-06-11,902.49,NA,IDR
2024-06-12,896.78,NA,IDR
2024-06-13,889.54,NA,IDR
2024-06-14,871.97,NA,IDR
2024-06-19,870.01,NA,IDR
2024-06-20,885.39,NA,IDR
2024-06-21,907.84,NA,IDR
2024-06-24,905.76,NA,IDR
2024-06-25,904.87,NA,IDR
2024-06-26,902.23,NA,IDR
2024-06-27,916.74,NA,IDR
2024-06-28,936.68,NA,IDR
2024-07-01,941.89,11070000000.0,IDR
2024-07-02,938.8,NA,IDR
2024-07-03,944.63,NA,IDR
2024-07-04,948.34,NA,IDR
2024-07-05,957.38,NA,IDR
2024-07-08,953.91,NA,IDR
2024-07-09,963.64,NA,IDR
2024-07-10,968.11,NA,IDR
2024-07-11,971.07,NA,IDR
2024-07-12,976.47,NA,IDR
2024-07-15,969.68,NA,IDR
2024-07-16,964.02,NA,IDR
2024-07-17,968.19,NA,IDR
2024-07-18,981.07,NA,IDR
2024-07-19,975.23,NA,IDR
2024-07-22,978.31,NA,IDR
2024-07-23,975.27,NA,IDR
2024-07-24,965.11,NA,IDR
2024-07-25,967.42,NA,IDR
2024-07-26,971.58,NA,IDR
2024-07-29,968.5,NA,IDR
2024-07-30,956.4,NA,IDR
2024-07-31,958.69,NA,IDR
2024-08-01,974.93,6610000000.0,IDR
2024-08-02,971.48,NA,IDR
2024-08-05,934.93,NA,IDR
2024-08-06,947.07,NA,IDR
2024-08-07,962.62,NA,IDR
2024-08-08,967.16,NA,IDR
2024-08-09,970.99,NA,IDR
2024-08-12,976.9,NA,IDR
2024-08-13,985.14,NA,IDR
2024-08-14,993.92,NA,IDR
2024-08-15,989.8,NA,IDR
2024-08-16,992.28,NA,IDR
2024-08-19,992.13,NA,IDR
2024-08-20,1000.88,NA,IDR
2024-08-21,1004.63,NA,IDR
2024-08-22,990.66,NA,IDR
2024-08-23,997.6,NA,IDR
2024-08-26,1007.33,NA,IDR
2024-08-27,998.13,NA,IDR
2024-08-28,1008.2,NA,IDR
2024-08-29,998.84,NA,IDR
2024-08-30,1009.04,NA,IDR
2024-09-01,NA,6540000000.0,IDR
2024-09-02,1009.2,NA,IDR
2024-09-03,999.56,NA,IDR
2024-09-04,1001.33,NA,IDR
2024-09-05,1002.26,NA,IDR
2024-09-06,1009.38,NA,IDR
2024-09-09,1006.53,NA,IDR
2024-09-10,1010.09,NA,IDR
2024-09-11,1009.19,NA,IDR
2024-09-12,1009.79,NA,IDR
2024-09-17,1019.43,NA,IDR
2024-09-18,1022.09,NA,IDR
2024-09-19,1034.17,NA,IDR
2024-09-20,1014.65,NA,IDR
2024-09-23,1036.5,NA,IDR
2024-09-24,1034.03,NA,IDR
2024-09-25,1024.75,NA,IDR
2024-09-26,1014.68,NA,IDR
2024-09-27,1005.28,NA,IDR
2024-09-30,980.72,NA,IDR
2024-10-01,999.68,6690000000.0,IDR
2024-10-02,987.05,NA,IDR
2024-10-03,985.78,NA,IDR
2024-10-04,977.59,NA,IDR
2024-10-07,974.27,NA,IDR
2024-10-08,990.78,NA,IDR
2024-10-09,981.5,NA,IDR
2024-10-10,976.21,NA,IDR
2024-10-11,977.55,NA,IDR
2024-10-14,978.04,NA,IDR
2024-10-15,984.74,NA,IDR
2024-10-16,984.41,NA,IDR
2024-10-17,998.76,NA,IDR
2024-10-18,1001.45,NA,IDR
2024-10-21,1001.11,NA,IDR
2024-10-22,990.17,NA,IDR
2024-10-24,981.94,NA,IDR
2024-10-25,982.44,NA,IDR
2024-10-30,954.65,NA,IDR
2024-10-31,954.01,NA,IDR
2024-11-01,944.03,6240000000.0,IDR
2024-11-04,942.8,NA,IDR
2024-11-05,942.9,NA,IDR
2024-11-06,920.24,NA,IDR
2024-11-07,898.93,NA,IDR
2024-11-08,899.08,NA,IDR
2024-11-11,890.56,NA,IDR
2024-11-12,890.66,NA,IDR
2024-11-13,892.96,NA,IDR
2024-11-14,884.25,NA,IDR
2024-11-15,879.16,NA,IDR
2024-11-18,871.12,NA,IDR
2024-11-19,874.93,NA,IDR
2024-11-20,871.2,NA,IDR
2024-11-21,863.91,NA,IDR
2024-11-25,899.75,NA,IDR
2024-11-26,886.75,NA,IDR
2024-11-28,884.01,NA,IDR
2024-11-29,869.3,NA,IDR
2024-12-01,NA,6270000000.0,IDR
2024-12-02,853.24,NA,IDR
2024-12-03,878.59,NA,IDR
2024-12-04,897.76,NA,IDR
2024-12-05,893.67,NA,IDR
2024-12-06,897.2,NA,IDR
2024-12-09,905.27,NA,IDR
2024-12-10,902.42,NA,IDR
2024-12-11,906.11,NA,IDR
2024-12-12,888.18,NA,IDR
2024-12-13,874.3,NA,IDR
2024-12-16,871.28,NA,IDR
2024-12-17,854.44,NA,IDR
2024-12-18,844.01,NA,IDR
2024-12-19,825.3,NA,IDR
2024-12-20,823.5,NA,IDR
2024-12-23,844.79,NA,IDR
2024-12-24,842.91,NA,IDR
2024-12-27,847.91,NA,IDR
2024-12-30,843.85,NA,IDR
2025-01-02,857.16,NA,IDR
2025-01-03,851.1,NA,IDR
2025-01-06,836.12,NA,IDR
2025-01-07,823.79,NA,IDR
2025-01-08,830.8,NA,IDR
2025-01-09,832.31,NA,IDR
2025-01-10,827.98,NA,IDR
2025-01-13,820.28,NA,IDR
2025-01-14,808.29,NA,IDR
2025-01-15,834.93,NA,IDR
2025-01-16,840.52,NA,IDR
2025-01-17,844.68,NA,IDR
2025-01-20,852.14,NA,IDR
2025-01-21,855.29,NA,IDR
2025-01-22,863.75,NA,IDR
2025-01-23,863.16,NA,IDR
2025-01-24,853.01,NA,IDR
2025-01-30,843.05,NA,IDR
2025-01-31,853.9,NA,IDR
2025-02-03,851.09,NA,IDR
2025-02-04,853.18,NA,IDR
